Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
57094295,Termination Shock,Neal Stephenson,"Stephenson, Neal",,"=""0063028050""","=""9780063028050""",3.0,William Morrow,Hardcover,708,2021,2021,2022/02/22,2021/10/27,,,read,,,,1,0
56783258,Cloud Cuckoo Land,Anthony Doerr,"Doerr, Anthony",,"=""1982168439""","=""9781982168438""",4.0,Scribner,Hardcover,626,2021,2021,2022/02/08,2021/09/01,,,read,,,,1,0
57850265,How High We Go in the Dark,Sequoia Nagamatsu,"Nagamatsu, Sequoia",,"=""0063072645""","=""9780063072640""",0,William Morrow,Hardcover,293,2022,2022,,2021/12/28,to-read,to-read (#89),to-read,,,,0,0
57693169,"The Starless Crown (Moonfall, #1)",James Rollins,"Rollins, James",,"=""1250816777""","=""9781250816771""",0,Tor Books,Hardcover,560,2022,2022,,2021/12/28,to-read,to-read (#88),to-read,,,,0,0
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""0765387565""","=""9780765387561""",4.0,Tor Books,Hardcover,448,2020,2020,2021/12/20,2020/10/07,,,read,,,,1,0
54976986,Great Circle,Maggie Shipstead,"Shipstead, Maggie",,"=""""","=""""",0,Knopf,Hardcover,608,2021,2021,,2021/12/20,to-read,to-read (#87),to-read,,,,0,0
56347314,My Monticello,Jocelyn Nicole Johnson,"Johnson, Jocelyn Nicole",,"=""1250807158""","=""9781250807151""",0,Henry Holt and Co.,Hardcover,224,2021,2021,,2021/12/20,to-read,to-read (#86),to-read,,,,0,0
53911860,The End of Men,Christina Sweeney-Baird,"Sweeney-Baird, Christina",,"=""0593328132""","=""9780593328132""",0,G.P. Putnam's Sons,Paperback,416,2021,2021,,2021/12/10,to-read,to-read (#85),to-read,,,,0,0
58745185,Malibu Rising,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,"=""""","=""""",0,Ballantine Books,Hardcover,369,2021,2021,,2021/12/10,to-read,to-read (#84),to-read,,,,0,0
58744977,"The Last Thing He Told Me (Hannah Hall, #1)",Laura Dave,"Dave, Laura",,"=""""","=""""",0,Simon & Schuster,Hardcover,306,2021,2021,,2021/12/10,to-read,to-read (#83),to-read,,,,0,0
57660923,Razorblade Tears,S.A. Cosby,"Cosby, S.A.",,"=""1250252709""","=""9781250252708""",0,Flatiron Books,Hardcover,322,2021,2021,,2021/11/25,to-read,to-read (#82),to-read,,,,0,0
54860573,Once There Were Wolves,Charlotte McConaghy,"McConaghy, Charlotte",,"=""1250244145""","=""9781250244147""",0,Flatiron Books,Hardcover,272,2021,2021,,2021/11/25,to-read,to-read (#81),to-read,,,,0,0
52180399,"The Only Good Indians (The Only Good Indians, #1)",Stephen Graham Jones,"Jones, Stephen Graham",,"=""1982136456""","=""9781982136451""",3.0,Gallery / Saga Press,Hardcover,305,2020,2020,2021/11/12,2020/07/07,,,read,,,,1,0
54895727,When the Stars Go Dark,Paula McLain,"McLain, Paula",,"=""0593237897""","=""9780593237892""",3.0,Ballantine Books,Hardcover,370,2021,2021,2021/10/31,2021/10/17,,,read,,,,1,0
54911607,The Guest List,Lucy Foley,"Foley, Lucy",,"=""0062868934""","=""9780062868930""",3.0,William Morrow,Hardcover,330,2020,2020,2021/10/17,2020/12/10,,,read,,,,1,0
54589790,"Rule of Wolves (King of Scars, #2)",Leigh Bardugo,"Bardugo, Leigh",,"=""125014230X""","=""9781250142306""",4.0,Imprint,Hardcover,592,2021,2021,2021/05/21,2021/01/27,,,read,,,,1,0
45046527,American Dirt,Jeanine Cummins,"Cummins, Jeanine",,"=""""","=""""",5.0,Flatiron Books,Hardcover,459,2020,2020,2021/09/27,2020/06/11,,,read,,,,1,0
31933977,"Lady of the Lake (The Witcher, #5)",Andrzej Sapkowski,"Sapkowski, Andrzej",David   French,"=""""","=""""",4.0,Orbit,Paperback,531,2017,1999,2021/09/06,2021/08/11,,,read,,,,1,0
27239265,"The Short Drop (Gibson Vaughn, #1)",Matthew FitzSimmons,"FitzSimmons, Matthew",,"=""150395241X""","=""9781503952416""",0,Thomas & Mercer,Kindle Edition,397,2015,2015,,2021/09/01,to-read,to-read (#80),to-read,,,,0,0
54303734,The Mercenary,Paul Vidich,"Vidich, Paul",,"=""1643136208""","=""9781643136202""",0,Pegasus Crime,Hardcover,288,2021,2021,,2021/08/08,to-read,to-read (#79),to-read,,,,0,0
9231999,"Claire DeWitt and the City of the Dead (Claire DeWitt Mysteries, #1)",Sara Gran,"Gran, Sara",,"=""0547428499""","=""9780547428499""",0,Houghton Mifflin Harcourt,Hardcover,273,2011,2011,,2021/08/08,to-read,to-read (#78),to-read,,,,0,0
53916157,"Win (Windsor Horne Lockwood III, #1)",Harlan Coben,"Coben, Harlan",,"=""1538748215""","=""9781538748213""",3.0,Grand Central Publishing,Hardcover,375,2021,2021,2021/08/05,2021/03/02,,,read,,,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",4.0,Ballantine Books,Hardcover,476,2021,2021,2021/07/29,2021/01/27,,,read,,,,1,0
25877663,"Babylon’s Ashes (The Expanse, #6)",James S.A. Corey,"Corey, James S.A.",,"=""0356504263""","=""9780356504261""",4.0,Orbit,Hardcover,532,2016,2016,2021/07/04,2021/06/19,,,read,,,,1,0
22886612,"Nemesis Games (The Expanse, #5)",James S.A. Corey,"Corey, James S.A.",,"=""031621759X""","=""9780316217590""",4.0,Orbit,Kindle Edition,536,2015,2015,2021/06/19,2021/05/23,,,read,,,,1,0
43352954,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,"=""""","=""""",3.0,Saga Press,ebook,209,2019,2019,2021/05/23,2021/05/21,,,read,,,,1,0
53138046,Every Last Fear,Alex Finlay,"Finlay, Alex",,"=""1250268826""","=""9781250268822""",5.0,Minotaur Books,Hardcover,368,2021,2021,2021/05/02,2021/02/03,,,read,,,,1,0
18656030,"Cibola Burn (The Expanse, #4)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",4.0,Orbit,Hardcover,581,2014,2014,2021/04/22,2021/04/03,,,read,,,,1,0
35504431,Turtles All the Way Down,John  Green,"Green, John",,"=""0525555366""","=""9780525555360""",0,Dutton Books for Young Readers,Hardcover,290,2017,2017,,2021/04/09,to-read,to-read (#77),to-read,,,,0,0
18693884,How Not to Be Wrong: The Power of Mathematical Thinking,Jordan Ellenberg,"Ellenberg, Jordan",,"=""1594205221""","=""9781594205224""",0,Penguin Press,Hardcover,480,2014,2014,,2021/04/09,to-read,to-read (#76),to-read,,,,0,0
56614951,Falling,T.J. Newman,"Newman, T.J.",,"=""1982177888""","=""9781982177881""",0,Avid Reader Press / Simon & Schuster ,Hardcover,304,2021,2021,,2021/04/08,to-read,to-read (#75),to-read,,,,0,0
54746205,Velvet Was the Night,Silvia Moreno-Garcia,"Moreno-Garcia, Silvia",,"=""0593356829""","=""9780593356821""",0,Del Rey,Hardcover,289,2021,2021,,2021/04/08,to-read,to-read (#74),to-read,,,,0,0
52578297,"The Midnight Library (The Midnight World, #1)",Matt Haig,"Haig, Matt",,"=""0525559477""","=""9780525559474""",5.0,Viking,Hardcover,288,2020,2020,2021/04/03,2020/12/10,,,read,You don’t have to understand life. You just have to live it!,,,1,0
16131032,"Abaddon’s Gate (The Expanse, #3)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",4.0,Orbit,Paperback,539,2013,2013,2021/03/22,2021/02/28,,,read,,,,1,0
22055262,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""0765376458""","=""9780765376459""",0,Tor,Hardcover,400,2015,2015,,2021/03/01,to-read,to-read (#73),to-read,,,,0,0
